id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
1150;central;7329;no;premium;college;06/01/11;jan;employed;m;59630;suburban;married;185;9;67;0;1;personal auto;personal l3;offer1;agent;888;suv;medsize
1151;central;22103;yes;basic;college;30/01/11;jan;unemployed;m;69562;suburban;married;102;35;48;0;2;personal auto;personal l2;offer1;branch;489;suv;medsize
1152;central;8560;no;basic;high school or below;16/01/11;jan;retired;f;28120;suburban;married;112;7;52;0;3;personal auto;personal l3;offer1;web;537;suv;medsize
1153;west region;3885;yes;premium;college;28/02/11;feb;unemployed;m;11248;suburban;married;105;3;92;0;1;personal auto;personal l3;offer1;branch;504;four-door car;large
1154;central;4379;no;premium;college;22/02/11;feb;employed;f;47747;rural;divorced;111;31;76;0;1;personal auto;personal l3;offer3;web;165;two-door car;medsize
1155;central;17029;no;extended;master;09/02/11;feb;employed;m;54613;urban;divorced;213;29;62;0;5;personal auto;personal l3;offer1;call center;731;luxury suv;medsize
1156;east;20725;no;premium;bachelor;02/02/11;feb;disabled;m;15529;suburban;married;273;1;64;0;9;personal auto;personal l3;offer3;branch;1965;luxury suv;small
1157;north west;2776;no;extended;bachelor;05/02/11;feb;unemployed;f;58603;suburban;single;79;28;94;0;1;personal auto;personal l2;offer1;branch;509;two-door car;medsize
1158;west region;2682;no;basic;high school or below;28/02/11;feb;employed;f;63471;suburban;married;67;0;71;0;1;personal auto;personal l1;offer2;agent;387;two-door car;large
1159;west region;2907;no;basic;college;17/02/11;feb;employed;f;51020;suburban;divorced;73;16;88;0;1;personal auto;personal l3;offer2;branch;350;two-door car;medsize
1160;north west;11473;no;extended;high school or below;12/01/11;jan;employed;f;66538;urban;married;95;14;64;0;2;personal auto;personal l3;offer2;agent;317;two-door car;medsize
1161;central;58207;no;extended;high school or below;13/01/11;jan;disabled;m;29295;suburban;married;219;25;50;0;2;personal auto;personal l3;offer1;agent;1328;four-door car;large
1162;west region;26576;no;premium;bachelor;02/02/11;feb;employed;m;87002;rural;married;110;27;30;0;2;personal auto;personal l2;offer1;call center;199;two-door car;medsize
1163;west region;11633;no;extended;bachelor;21/02/11;feb;employed;f;39669;suburban;married;98;13;63;0;2;personal auto;personal l3;offer2;agent;492;two-door car;small
1164;east;2365;no;basic;bachelor;13/01/11;jan;unemployed;f;85867;rural;married;66;25;51;2;1;special auto;special l2;offer2;branch;159;four-door car;medsize
1165;west region;4170;yes;basic;master;17/01/11;jan;employed;f;29462;suburban;single;107;28;23;1;1;personal auto;personal l2;offer2;branch;513;suv;large
1166;north west;5200;no;extended;bachelor;19/02/11;feb;employed;f;90167;urban;single;131;31;42;0;1;corporate auto;corporate l2;offer1;web;523;suv;medsize
1167;central;2254;no;basic;bachelor;31/01/11;jan;unemployed;f;62796;suburban;single;65;0;51;0;1;corporate auto;corporate l3;offer3;agent;312;four-door car;large
1168;north west;13024;yes;extended;master;31/01/11;jan;unemployed;m;90066;suburban;single;125;6;61;0;2;personal auto;personal l3;offer1;agent;900;suv;small
1169;north west;2959;no;basic;bachelor;27/02/11;feb;employed;f;69746;urban;divorced;74;15;91;1;1;personal auto;personal l1;offer1;call center;225;four-door car;medsize
1170;west region;5243;no;basic;master;30/01/11;jan;employed;f;44851;suburban;divorced;66;16;51;0;3;corporate auto;corporate l2;offer3;web;439;luxury car;small
1171;west region;8082;no;basic;college;21/01/11;jan;employed;m;53554;suburban;married;67;6;5;0;2;personal auto;personal l2;offer1;agent;327;four-door car;large
1172;north west;4541;no;basic;high school or below;05/01/11;jan;unemployed;f;49612;suburban;divorced;65;15;85;2;4;special auto;special l3;offer1;agent;312;four-door car;medsize
1173;central;5123;no;basic;bachelor;19/01/11;jan;employed;f;72096;urban;married;64;24;92;0;5;personal auto;personal l3;offer1;agent;252;two-door car;medsize
1174;central;9234;no;extended;college;24/02/11;feb;unemployed;f;18669;suburban;single;134;29;43;0;6;corporate auto;corporate l3;offer1;branch;643;suv;medsize
1175;central;13770;yes;premium;high school or below;01/02/11;feb;employed;f;59207;suburban;single;116;23;21;0;2;personal auto;personal l1;offer1;agent;556;four-door car;medsize
1176;west region;39561;no;basic;college;02/01/11;jan;employed;m;60500;suburban;married;110;27;92;0;2;personal auto;personal l1;offer3;branch;770;sports car;small
1177;west region;8613;no;premium;master;24/01/11;jan;employed;f;26680;suburban;married;106;11;49;0;5;personal auto;personal l2;offer1;agent;508;two-door car;small
1178;central;5453;no;basic;college;04/01/11;jan;employed;m;30855;urban;married;68;7;15;0;7;corporate auto;corporate l3;offer2;web;259;four-door car;medsize
1179;west region;8845;no;basic;high school or below;14/01/11;jan;employed;f;95850;urban;married;109;3;16;0;3;corporate auto;corporate l1;offer1;agent;328;sports car;medsize
1180;east;8021;no;basic;college;16/02/11;feb;employed;f;54292;suburban;married;67;4;26;0;2;personal auto;personal l1;offer1;agent;321;four-door car;small
1181;north west;2454;no;basic;bachelor;07/02/11;feb;unemployed;f;63565;suburban;single;72;25;4;0;1;personal auto;personal l3;offer2;branch;518;two-door car;medsize
1182;central;9247;no;extended;high school or below;02/01/11;jan;employed;f;97030;suburban;married;76;14;24;0;2;corporate auto;corporate l3;offer3;call center;416;four-door car;small
1183;west region;13110;no;basic;high school or below;19/01/11;jan;employed;m;73597;urban;married;114;4;8;0;2;personal auto;personal l2;offer4;agent;485;two-door car;large
1184;north west;10979;no;extended;bachelor;14/02/11;feb;employed;f;94827;urban;married;135;5;64;0;4;personal auto;personal l3;offer1;agent;354;suv;medsize
1185;east;10388;no;extended;bachelor;11/01/11;jan;employed;f;61222;urban;single;89;20;55;0;2;special auto;special l3;offer3;branch;392;four-door car;small
1186;north west;14962;no;extended;high school or below;12/02/11;feb;unemployed;f;70164;suburban;married;82;9;58;0;2;personal auto;personal l1;offer4;agent;393;four-door car;medsize
1187;north west;9752;no;extended;college;17/01/11;jan;employed;f;37345;rural;married;82;27;12;0;2;personal auto;personal l3;offer4;agent;31;four-door car;medsize
1188;west region;5505;no;basic;college;02/02/11;feb;retired;f;15648;suburban;married;73;29;68;1;5;special auto;special l3;offer2;agent;413;two-door car;medsize
1189;central;14741;no;extended;bachelor;25/01/11;jan;unemployed;f;83263;suburban;married;139;2;33;1;2;personal auto;personal l3;offer3;call center;667;suv;medsize
1190;central;2258;no;basic;high school or below;02/01/11;jan;unemployed;m;32986;suburban;single;65;8;47;0;1;personal auto;personal l3;offer3;agent;625;four-door car;medsize
1191;north west;2795;no;basic;college;20/01/11;jan;unemployed;m;90216;suburban;married;74;6;61;0;1;personal auto;personal l3;offer1;call center;420;two-door car;medsize
1192;north west;8692;no;premium;college;22/01/11;jan;employed;f;31986;suburban;divorced;111;13;83;0;6;personal auto;personal l2;offer1;branch;532;four-door car;small
1193;west region;4171;no;basic;bachelor;17/01/11;jan;employed;f;36723;suburban;married;106;13;18;1;1;personal auto;personal l3;offer2;agent;580;suv;medsize
1194;north west;8256;yes;basic;bachelor;25/01/11;jan;employed;f;62902;rural;married;69;14;94;0;2;personal auto;personal l3;offer2;web;159;two-door car;medsize
1195;central;10083;no;extended;high school or below;19/02/11;feb;retired;f;11828;suburban;divorced;90;18;84;0;2;corporate auto;corporate l1;offer1;agent;571;four-door car;large
1196;east;13759;no;extended;bachelor;17/01/11;jan;retired;f;16794;suburban;single;96;7;31;0;2;personal auto;personal l3;offer1;branch;460;four-door car;medsize
1197;west region;7292;no;basic;high school or below;09/02/11;feb;unemployed;m;50496;suburban;married;68;6;50;0;2;personal auto;personal l3;offer1;branch;415;two-door car;medsize
1198;west region;6310;no;extended;high school or below;31/01/11;jan;employed;m;79880;suburban;married;79;22;68;1;7;personal auto;personal l3;offer2;branch;568;two-door car;medsize
1199;west region;2478;no;basic;college;04/02/11;feb;employed;f;24186;suburban;single;64;8;11;0;1;personal auto;personal l2;offer2;agent;307;four-door car;medsize
1200;central;4423;no;extended;high school or below;11/02/11;feb;unemployed;f;37084;suburban;single;125;8;55;0;1;personal auto;personal l2;offer3;agent;900;four-door car;medsize
1201;west region;5557;no;basic;high school or below;30/01/11;jan;employed;f;83576;suburban;married;69;35;72;0;5;personal auto;personal l3;offer3;web;331;two-door car;medsize
1202;west region;8658;yes;basic;college;07/02/11;feb;employed;m;62464;urban;married;109;29;45;0;4;corporate auto;corporate l1;offer2;agent;400;sports car;medsize
1203;west region;2615;no;basic;master;03/02/11;feb;unemployed;m;30235;suburban;married;71;15;45;1;1;personal auto;personal l1;offer2;agent;340;two-door car;medsize
1204;central;5439;no;basic;high school or below;08/02/11;feb;employed;f;69186;urban;single;69;24;16;0;3;personal auto;personal l3;offer2;agent;192;four-door car;small
1205;west region;10737;no;extended;high school or below;23/02/11;feb;employed;m;50607;suburban;single;137;15;0;0;9;personal auto;personal l2;offer2;agent;657;suv;large
1206;north west;14318;no;basic;bachelor;23/02/11;feb;employed;m;22697;suburban;divorced;186;35;39;1;8;corporate auto;corporate l3;offer1;web;892;luxury suv;medsize
1207;west region;4743;no;basic;bachelor;10/02/11;feb;employed;f;83413;rural;married;118;0;1;0;1;personal auto;personal l3;offer2;web;134;suv;medsize
1208;west region;4929;no;basic;high school or below;27/01/11;jan;unemployed;f;63726;suburban;single;70;25;21;0;6;personal auto;personal l3;offer4;call center;837;four-door car;small
1209;central;7196;no;basic;high school or below;08/01/11;jan;unemployed;m;21933;suburban;single;107;22;96;0;4;personal auto;personal l2;offer4;web;770;suv;medsize
1210;central;5448;no;basic;bachelor;07/01/11;jan;employed;m;85296;suburban;married;68;15;47;0;6;personal auto;personal l3;offer3;web;342;four-door car;medsize
1211;west region;2907;no;basic;high school or below;30/01/11;jan;employed;f;52216;suburban;married;72;8;55;1;1;personal auto;personal l2;offer1;web;362;four-door car;medsize
1212;west region;30118;no;premium;high school or below;09/01/11;jan;employed;m;68906;suburban;married;187;23;61;0;2;personal auto;personal l3;offer3;web;1053;sports car;medsize
1213;east;2224;no;basic;college;22/01/11;jan;unemployed;m;15483;suburban;single;68;3;4;0;1;personal auto;personal l3;offer2;web;326;four-door car;medsize
1214;north west;3055;no;extended;high school or below;19/01/11;jan;employed;f;42406;rural;married;77;15;49;0;1;corporate auto;corporate l3;offer4;call center;108;four-door car;medsize
1215;north west;5365;no;basic;bachelor;04/02/11;feb;employed;f;77095;suburban;divorced;68;22;59;1;4;personal auto;personal l2;offer3;agent;461;four-door car;small
1216;north west;8287;no;basic;bachelor;26/02/11;feb;employed;f;81367;urban;married;103;2;32;0;4;special auto;special l2;offer3;branch;415;suv;medsize
1217;central;5953;no;extended;bachelor;05/01/11;jan;employed;m;20283;suburban;divorced;77;7;17;0;3;personal auto;personal l1;offer2;branch;369;two-door car;medsize
1218;north west;6964;no;extended;college;19/02/11;feb;unemployed;f;61643;suburban;married;95;19;41;1;9;corporate auto;corporate l2;offer1;web;629;four-door car;medsize
1219;west region;11302;no;extended;doctor;10/01/11;jan;employed;f;22361;suburban;married;95;15;42;0;2;personal auto;personal l3;offer4;agent;530;four-door car;small
1220;west region;7647;no;basic;high school or below;12/02/11;feb;employed;m;91512;suburban;married;189;6;86;0;1;personal auto;personal l3;offer3;branch;907;luxury car;medsize
1221;central;9209;no;basic;high school or below;27/02/11;feb;employed;f;31365;suburban;married;115;1;12;0;7;special auto;special l2;offer1;call center;828;suv;medsize
1222;west region;2611;no;extended;college;14/02/11;feb;unemployed;m;83902;suburban;single;77;3;90;0;1;corporate auto;corporate l3;offer4;call center;369;two-door car;medsize
1223;central;5158;no;basic;high school or below;04/02/11;feb;unemployed;f;84754;suburban;single;74;24;98;0;5;personal auto;personal l1;offer2;agent;588;two-door car;medsize
1224;north west;9551;no;basic;high school or below;18/01/11;jan;employed;f;57016;urban;married;119;31;86;0;3;personal auto;personal l2;offer2;agent;341;suv;medsize
1225;north west;2980;no;extended;college;09/02/11;feb;medical leave;f;13535;suburban;married;80;7;53;1;1;personal auto;personal l3;offer2;agent;384;four-door car;small
1226;west region;19872;no;premium;high school or below;31/01/11;jan;unemployed;m;49560;suburban;single;185;26;35;0;2;personal auto;personal l3;offer1;agent;1950;four-door car;medsize
1227;north west;2452;no;basic;college;05/02/11;feb;employed;f;30216;suburban;divorced;63;18;74;0;1;corporate auto;corporate l3;offer2;call center;302;four-door car;medsize
1228;north west;37939;no;basic;high school or below;31/01/11;jan;employed;f;20587;urban;married;106;14;21;0;2;personal auto;personal l3;offer3;agent;363;suv;small
1229;north west;5568;yes;extended;high school or below;01/01/11;jan;unemployed;m;30539;suburban;single;79;21;53;1;7;personal auto;personal l2;offer1;agent;407;two-door car;medsize
1230;central;4369;no;premium;master;11/01/11;jan;employed;m;88495;suburban;married;108;21;83;0;1;personal auto;personal l3;offer1;branch;535;two-door car;medsize
1231;west region;8996;no;basic;high school or below;13/02/11;feb;employed;m;49706;suburban;married;113;13;95;0;3;personal auto;personal l3;offer2;call center;617;suv;medsize
1232;west region;8595;no;basic;college;20/01/11;jan;employed;m;76763;rural;divorced;108;12;87;0;8;personal auto;personal l3;offer2;web;186;suv;small
1233;north west;5476;no;basic;master;06/02/11;feb;employed;f;52218;rural;married;68;11;85;0;8;corporate auto;corporate l3;offer2;call center;33;four-door car;medsize
1234;north west;4001;no;premium;high school or below;02/02/11;feb;retired;f;19782;suburban;divorced;108;13;66;0;1;personal auto;personal l3;offer3;web;773;two-door car;medsize
1235;central;2454;no;basic;college;28/02/11;feb;employed;m;23158;suburban;married;63;4;6;1;1;personal auto;personal l2;offer4;call center;322;four-door car;small
1236;west region;3451;no;extended;high school or below;18/02/11;feb;employed;m;45609;urban;married;87;4;30;0;1;corporate auto;corporate l2;offer4;agent;246;two-door car;medsize
1237;central;9837;no;extended;high school or below;16/02/11;feb;employed;f;55099;rural;divorced;122;1;86;0;3;corporate auto;corporate l3;offer2;branch;260;sports car;medsize
1238;central;8591;no;extended;bachelor;15/01/11;jan;unemployed;m;58434;suburban;single;128;4;24;0;6;corporate auto;corporate l2;offer1;branch;1448;suv;medsize
1239;central;5427;no;basic;high school or below;01/02/11;feb;employed;f;74561;urban;married;68;0;23;1;5;personal auto;personal l3;offer3;web;234;two-door car;medsize
1240;east;2442;no;basic;college;12/02/11;feb;unemployed;f;20472;suburban;single;69;7;10;0;1;corporate auto;corporate l1;offer1;branch;331;four-door car;large
1241;central;4945;no;basic;high school or below;30/01/11;jan;employed;f;78796;suburban;divorced;61;15;3;0;3;personal auto;personal l2;offer2;call center;292;two-door car;medsize
1242;west region;8355;no;basic;college;21/01/11;jan;employed;f;64502;rural;married;70;22;49;0;2;personal auto;personal l3;offer2;call center;39;two-door car;medsize
1243;west region;2841;no;basic;bachelor;07/01/11;jan;employed;f;30473;suburban;married;72;20;35;0;1;corporate auto;corporate l1;offer4;call center;450;four-door car;medsize
1244;central;2674;no;basic;master;06/01/11;jan;employed;f;68787;rural;married;66;7;64;0;1;personal auto;personal l3;offer4;call center;105;four-door car;medsize
